NOMBRE_DEL_SOLISTA_DE_LA_BANDA;GENERO;ESTILO;FECHA_INSCRIPCION;LINK_FACEBOOK;LINK_TWITTER;OTRAS_REDES;DISCOS;LINK_VIDEOCLIP;VIDEO_EN_VIVO;BARRIO;CANTIDAD_DE_INTEGRANTES
OTTO;ROCK ;HARD ROCK;29/05/15;;;;;;;CHIVILCOY;4
CASACLUB;ROCK ;ROCK & ROLL;29/05/15;;HTTPS://TWITTER.COM/CASACLUBROCK;HTTP://WWW.ELSONAR.COM.AR/CASACLUBROCK , HTTPS://WWW.FACEBOOK.COM/CASACLUBROCKPAGE;QUIENES CREEMOS QUE SOMOS (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=AOZO-NLK180 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=PA4LBI8JDLY;;RETIRO;4
RICHARD AND THE RICOS MOMENTOS;ROCK ;ROCK ALTERNATIVO;29/05/15;HTTPS://FACEBOOK.COM/RICHARDRICOSMOMENTOS;;HTTP://RICOSMOMENTOS.BANDCAMP.COM/;MARMA-MARMA (EP) (2014) , RICHARD AND THE RICOS MOMENTOS (EP) (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=UGVLC9NQBHS;HTTPS://WWW.YOUTUBE.COM/WATCH?V=L2RBI6PWPQ0;VILLA CRESPO;7
HORMIGA SUBE AL ARBOL;ROCK ;;29/05/15;;;WWW.HORMIGASUBE.COM.AR;HORMIGA SUBE AL ARBOL (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=6GMLUBV46KS;HTTPS://WWW.YOUTUBE.COM/WATCH?V=VLVXKL0SDZY;CONSTITUCION;5
MUY LEJOS;POP ;POP ROCK;28/05/15;HTTPS://FACEBOOK.COM/MUYLEJOSOFICIAL;HTTPS://TWITTER.COM/MUYLEJOSOFICIAL;HTTPS://WWW.INSTAGRAM.COM/MUYLEJOSOFICIAL , HTTPS://WWW.YOUTUBE.COM/MUYLEJOSOFICIAL;MUY LEJOS (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=D-TZVY2KGW8;HTTPS://WWW.YOUTUBE.COM/WATCH?V=YKD-6FNG02G , HTTPS://WWW.YOUTUBE.COM/WATCH?V=PVMN51B2HMK;VILLA DEL PARQUE;5
ELECTRICOS ASESINOS;ROCK ;ROCK POP;27/05/15;;HTTPS://TWITTER.COM/ELECTRICOSASESI;HTTP://WWW.YOUTUBE.COM/USER/ELECTRICOSASESINOS , HTTP://WWW.SOUNDCLOUD.COM/ELECTRICOSASESINOS/  , HTTP://WWW.ELECTRICOSASESINOS.COM;CANCIONES PARA SALIR (2012);HTTPS://WWW.YOUTUBE.COM/WATCH?V=FOWOMVNSVUY , HTTPS://WWW.YOUTUBE.COM/WATCH?V=-S6-GTGYWTU;HTTPS://WWW.YOUTUBE.COM/WATCH?V=YTUJWLCOEL0&FEATURE=YOUTU.BE;LANUS;7
GUIOR;ROCK ;;27/05/15;;;;GUIOR (2009);;;BOEDO;3
VIKO BRAT;POP ;;26/05/15;HTTPS://FACEBOOK.COM/VIKOBRATOFICIAL;HTTPS://TWITTER.COM/VIKOBRAT;WWW.INSTAGRAM.COM/VIKOBRAT , WWW.INSTAGRAM.COM/VIKOBRAT , WWW.VIKOBRAT.COM;MI FORTUNA (2014) , VIAJE DE ABRIL (2011);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=8JVNLSUI_UQ;VILLA SOLDATI;5
FOBOS;ROCK ;ROCK PROGRESIVO;26/05/15;;HTTPS://TWITTER.COM/FOBOSROCK;HTTPS://FOBOS1.BANDCAMP.COM , HTTP://WWW.FOBOSROCK.COM.AR/;FOBOS (2014);;HTTPS://YOUTU.BE/OA0L3VJQ2VO , HTTPS://WWW.YOUTUBE.COM/WATCH?V=IL6AJ_P4YI8;VILLA SOLDATI;4
AUTISTAS CHOCADORES;ROCK ;;26/05/15;;;;DEMOCRACIA CHINA (2008) , MIL AUTISTAS (2005);HTTPS://WWW.YOUTUBE.COM/WATCH?V=RWLP7VH0JVM;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZGWJNORCLZY , HTTPS://WWW.YOUTUBE.COM/WATCH?V=4TETRDGMKNM;SAN NICOLAS DE LOS ARROYOS;6
SIGNO;ROCK ;ROCK ALTERNATIVO;23/05/15;;;HTTP://WWW.FACEBOOK.COM/CEMENTERIO.SIGNO?REF=AYMT_HOMEPAGE_PANEL&__MREF=MESSAGE_BUBBLE;;;;FLORESTA;4
XUXO;ROCK ;;22/05/15;HTTPS://FACEBOOK.COM/XUXOMUSICA;;HTTPS://WWW.FACEBOOK.COM/ROCKXUXO , HTTPS://WWW.FACEBOOK.COM/ROCKXUXO;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=EIMZ0PFAQHU , HTTPS://WWW.YOUTUBE.COM/WATCH?V=OC1_Q2OFCEO;AGRONOMIA;4
HEARTLESS;ROCK ;ROCK ALTERNATIVO;21/05/15;HTTPS://FACEBOOK.COM/HEARTLESSARG;HTTPS://TWITTER.COM/HEARTLESSARG;HTTPS://INSTAGRAM.COM/HEARTLESSOFICIAL , HTTPS://INSTAGRAM.COM/HEARTLESSOFICIAL , WWW.HEARTLESS.COM.AR;RESISTIR (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=SPYUG4CCEQY , HTTPS://WWW.YOUTUBE.COM/WATCH?V=7HWNJSC-LKE;HTTPS://WWW.YOUTUBE.COM/WATCH?V=RRYPI62HXGO , HTTPS://WWW.YOUTUBE.COM/WATCH?V=5TRJ4GEBPTU;SAN CRISTOBAL;5
HUMANO QUERIDO;ROCK;;19/05/15;HTTPS://FACEBOOK.COM/HUMANOSQUERIDOS;;HTTP://WWW.MYSPACE.COM/HUMANOQUERIDO , HTTP://WWW.PUREVOLUME.COM/HDEHUMANO;EL RUIDO DE LA MUSICA (2010) , PARA VOS Y PARA USTED (2000);HTTPS://WWW.YOUTUBE.COM/WATCH?V=C5CSAS8QIIM;HTTPS://WWW.YOUTUBE.COM/WATCH?V=N8MOLCYXZHS , HTTPS://WWW.YOUTUBE.COM/WATCH?V=MM3RHA_TFSU;PARQUE CHAS;5
LEGAIA;ROCK ;ROCK ALTERNATIVO;19/05/15;HTTPS://FACEBOOK.COM/LEGAIA.OFICIAL;;WWW.YOUTUBE.COM/USER/LEGAIAVISION , WWW.REVERBNATION.COM/LEGAIA;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DUPADZFGW78;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DUPADZFGW78;BOEDO;5
FUERON FANTASMAS;ROCK ;ROCK POP;19/05/15;HTTPS://FACEBOOK.COM/FUERONFANTASMAS;;WWW.FACEBOOK.COM/FUERONFANTASMAS;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=KGIJBU9NXBE&FEATURE=YOUTU.BE;;ALMIRANTE BROWN;5
MONOS AL AIRE;ROCK ;ROCK POP;19/05/15;HTTPS://FACEBOOK.COM/MONOSALAIRE;HTTPS://TWITTER.COM/MONOSALAIRE;;QUE NO GANE EL MIEDO (2014) , MANICOMIO VIP (2012);HTTPS://WWW.YOUTUBE.COM/WATCH?V=AQIGPNPR2OI;HTTPS://WWW.YOUTUBE.COM/WATCH?V=UXETXBAJEFQ;VICENTE LOPEZ;4
MONDIOLA ROCK;ROCK ;HARD ROCK;15/05/15;HTTPS://FACEBOOK.COM/MONDIOLAROCK;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=JCAWW8ZMBHC , HTTPS://WWW.YOUTUBE.COM/WATCH?V=WXRFF_KQJII;VILLA DEL PARQUE;4
SIN PREAMBULOS;POP ;POP ROCK;14/05/15;;HTTPS://TWITTER.COM/SINPREAMBULOSOK;HTTPS://SOUNDCLOUD.COM/SINPREAMBULOS;SIN PREAMBULOS (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=2XTPGE_KMMS , HTTPS://WWW.YOUTUBE.COM/WATCH?V=NU_RWHFJKPI;HTTPS://WWW.YOUTUBE.COM/WATCH?V=LMN945XVRJ4;FLORIDA;4
LA KEBRADA;ROCK ;ROCK & ROLL;14/05/15;;;;APRENDER A REMAR (2007);HTTPS://WWW.YOUTUBE.COM/WATCH?V=3MBNIQBSMOE , HTTPS://WWW.YOUTUBE.COM/WATCH?V=V_C4IC_PJFA;HTTPS://WWW.YOUTUBE.COM/WATCH?V=QOIEFZ65FZG , HTTPS://WWW.YOUTUBE.COM/WATCH?V=1KBVBQVIC28;SAN NICOLAS;5
CETUS REX;ROCK ;ROCK PROGRESIVO;14/05/15;;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=HDMV0OXXJNC , HTTPS://WWW.YOUTUBE.COM/WATCH?V=TBSSUNYUH2Y;PUERTO MADERO;4
VANISHED FROM EARTH;ROCK ;ROCK PROGRESIVO;14/05/15;;HTTPS://TWITTER.COM/VANISHEDMUSIC;WWW.VANISHEDFROMEARTH.COM.AR;VANISHED FROM EARTH (2013);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=UILRT9UKPDQ , HTTPS://WWW.YOUTUBE.COM/WATCH?V=OHFMWZS-V2K;CONSTITUCION;4
BANDIDOS;ROCK ;HARD ROCK;13/05/15;HTTPS://FACEBOOK.COM/BANDIDOSRNR;HTTPS://TWITTER.COM/BANDIDOSRNR;HTTPS://WWW.FACEBOOK.COM/BANDIDOSCUMBIA;BANDIDOS (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=TY61EHKCGEG , HTTPS://WWW.YOUTUBE.COM/WATCH?V=QLG3HJNMFVK;HTTPS://WWW.YOUTUBE.COM/WATCH?V=TY61EHKCGEG , HTTPS://WWW.YOUTUBE.COM/WATCH?V=QLG3HJNMFVK;VILLA SOLDATI;5
REPUBLICA DE YUGOSLAVIA;ROCK ;ROCK ALTERNATIVO;13/05/15;;HTTPS://TWITTER.COM/YUGOSLAVIA_ROCK;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=M715KRPQFJU , HTTPS://WWW.YOUTUBE.COM/WATCH?V=1RR1-GF4QUU;AGRONOMIA;6
JALISCO;ROCK ;;13/05/15;HTTPS://FACEBOOK.COM/JALISCOROCK;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=BBYAB5N4ARK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=7QLYXXTSM8Q;ALMAGRO;5
EL EJJE;ROCK ;ROCK ALTERNATIVO;12/05/15;;;HTTP://WWW.ELEJJEROCK.COM.AR;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=4X_2PCZXO9G;LA PATERNAL;4
